index;prerequisite;advanced;m1;m2;m2_sentence;m3;m4;m4a;m4b;m5
109;SUBDOMAINS;1G;0;;;;;;;0.00
110;SWITCH;1G;0;;;;;;;0.50
111;TAG;1G;0;;;;;;;-1.00
112;TIER-1 INTERNET SERVICE PROVIDER;1G;0;;;;;;;0.00
113;TIER-2 INTERNET SERVICE PROVIDER;1G;0;;;;;;;0.00
114;TIER-3 INTERNET SERVICE PROVIDER;1G;0;;;;;;;0.00
115;TOP-LEVEL DOMAINS;1G;0;;;;;;;0.00
116;TRADITIONAL TELEPHONE;1G;0;;;;;;;-0.50
117;TRANSMISSION CONTROL PROTOCOL;1G;0;;;;;;;-1.00
118;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;1G;0;;;;;;;-1.00
119;TRANSPORT LAYER;1G;0;;;;;;;-1.00
120;TROJAN HORSE;1G;0;;;;;;;-1.50
121;UNIFORM RESOURCE LOCATOR;1G;0;;;;;;;-0.75
122;USER DATAGRAM PROTOCOL;1G;0;;;;;;;-1.00
123;VIRUS;1G;0;;;;;;;-1.50
124;VOICE OVER INTERNET PROTOCOL;1G;0;;;;;;;-1.00
125;WEBSERVER;1G;0;;;;;;;-1.00
126;WIDE AREA NETWORK;1G;0;;;;;;;-0.50
127;WIRELESS NETWORK;1G;0;;;;;;;0.50
128;WORLD WIDE WEB;1G;0;;;;;;;-0.50
129;WORM;1G;0;;;;;;;-1.50
130;SECOND GENERATION;1G;0;;;;;;;-1.50
131;EMAIL;1G;0;;;;;;;-1.00
132;CLIENT-SIDE;1G;0;;;;;;;-1.00
133;SERVER-SIDE;1G;0;;;;;;;-1.00
134;SERVLET;1G;0;;;;;;;-0.50
135;WEBSERVERS;1G;0;;;;;;;-1.00
136;4G;1G;0;;;;;;;0.00
137;ANTIVIRUS SOFTWARE;1G;0;;;;;;;-1.50
138;SEARCH ENGINE;1G;0;;;;;;;0.00
139;WIFI NETWORK;1G;0;;;;;;;-0.25
140;1G;3G;0;;;;;;;0.00
141;ACCESS INTERNET SERVICE PROVIDER;3G;0;;;;;;;-1.25
142;ACCESS POINT;3G;0;;;;;;;-1.00
143;ACTIVE SERVER PAGE;3G;0;;;;;;;-0.50
144;ADDRESSING SYSTEM;3G;0;;;;;;;-0.25
145;APPLICATION LAYER;3G;0;;;;;;;-1.25
146;AUDITING SOFTWARE;3G;0;;;;;;;-1.50
147;BIT PATTERN;3G;0;;;;;;;-1.50
148;BODY;3G;0;;;;;;;-0.50
149;BRIDGE;3G;0;;;;;;;0.50
150;BROWSER;3G;0;;;;;;;-1.00
151;BUS;3G;0;;;;;;;-1.00
152;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;3G;0;;;;;;;-0.25
153;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;3G;0;;;;;;;-0.25
154;CERTIFICATE;3G;0;;;;;;;-1.50
155;CERTIFICATE AUTHORITY;3G;0;;;;;;;-1.50
156;CLIENT;3G;0;;;;;;;-1.00
157;CLIENT SIDE;3G;0;;;;;;;-1.00
158;CLIENT/SERVER MODEL;3G;0;;;;;;;0.50
159;CLOUD COMPUTING;3G;0;;;;;;;0.50
160;CLUSTER COMPUTE;3G;0;;;;;;;0.50
161;COLLISION AVOIDANCE;3G;0;;;;;;;-0.25
162;COLLISION DETECTION;3G;0;;;;;;;-0.25
163;COMPUTER;3G;0;;;;;;;-1.00
164;COMPUTER SYSTEM;3G;0;;;;;;;-1.00
165;CONTENT DELIVERY NETWORK;3G;0;;;;;;;0.00
166;DENIAL OF SERVICE;3G;0;;;;;;;-1.50
167;DIGITAL SIGNATURE;3G;0;;;;;;;-1.50
168;DISTRIBUTED SYSTEM;3G;0;;;;;;;-0.50
169;DOMAIN;3G;0;;;;;;;-1.00
170;DOMAIN NAME;3G;0;;;;;;;-1.00
171;DOMAIN NAME SYSTEM;3G;0;;;;;;;-1.00
172;ENCRYPTION;3G;0;;;;;;;-1.50
173;END SYSTEM;3G;0;;;;;;;-1.00
174;END USER;3G;0;;;;;;;-1.00
175;ETHERNET NETWORK;3G;0;;;;;;;-0.25
176;EXTENSIBLE MARKUP LANGUAGE;3G;0;;;;;;;-0.50
177;FILE SERVER;3G;0;;;;;;;-1.00
178;FILE TRANSFER PROTOCOL;3G;0;;;;;;;-1.00
179;FIREWALL;3G;0;;;;;;;-1.50
180;FORWARDING TABLE;3G;0;;;;;;;-1.00
181;GATEWAY;3G;0;;;;;;;-0.50
182;GRID COMPUTE;3G;0;;;;;;;0.50
183;HEAD;3G;0;;;;;;;0.00
184;HIDDEN TERMINAL PROBLEM;3G;0;;;;;;;0.50
185;HOP COUNT;3G;0;;;;;;;-1.25
186;HOT SPOT;3G;0;;;;;;;0.00
187;HUB;3G;0;;;;;;;0.50
188;HYPERTEXT;3G;0;;;;;;;-1.00
189;HYPERTEXT DOCUMENT;3G;0;;;;;;;-0.75
190;HYPERTEXT MARKUP LANGUAGE;3G;0;;;;;;;-0.50
191;HYPERTEXT TRANSFER PROTOCOL;3G;0;;;;;;;-1.00
192;HYPERTEXT TRANSFER PROTOCOL SERVER;3G;0;;;;;;;-1.00
193;INSTANT MESSAGING;3G;0;;;;;;;0.50
194;INTERNET;3G;0;;;;;;;-1.00
195;INTERNET INFRASTRUCTURE;3G;0;;;;;;;-0.25
196;INTERNET MAIL ACCESS PROTOCOL;3G;0;;;;;;;-1.00
197;INTERNET PROTOCOL;3G;0;;;;;;;-1.00
198;INTERNET PROTOCOL ADDRESS;3G;0;;;;;;;-1.00
199;INTERNET PROTOCOL NETWORK;3G;0;;;;;;;-1.00
200;INTERNET SERVICE PROVIDER;3G;0;;;;;;;-1.25
201;INTERNET SOFTWARE;3G;0;;;;;;;-1.00
202;INTERNET2;3G;0;;;;;;;0.00
203;INTERPROCESS COMMUNICATION;3G;0;;;;;;;0.50
204;INTRANET;3G;0;;;;;;;-1.50
205;JAVASERVER PAGE;3G;0;;;;;;;-0.50
206;LINK LAYER;3G;0;;;;;;;-1.25
207;LOCAL AREA NETWORK;3G;0;;;;;;;0.50
208;MAGNETIC DISK;3G;0;;;;;;;0.50
209;MAIL SERVER;3G;0;;;;;;;-1.00
210;MALICIOUS SOFTWARE;3G;0;;;;;;;-1.00
211;MASS STORAGE;3G;0;;;;;;;-0.50
212;METROPOLITAN AREA NETWORK;3G;0;;;;;;;0.50
213;MNEMONIC ADDRESS;3G;0;;;;;;;-0.75
214;MNEMONIC DOMAIN NAME;3G;0;;;;;;;-1.00
215;NAME SERVER;3G;0;;;;;;;-1.00
216;NETWORK;3G;0;;;;;;;-1.00
217;NETWORK LAYER;3G;0;;;;;;;-1.25
218;NETWORK NEWS TRANSFER PROTOCOL;3G;0;;;;;;;0.00
219;NETWORK SOFTWARE;3G;0;;;;;;;-1.00
220;OPEN NETWORK;3G;0;;;;;;;-1.00
221;PEER-TO-PEER MODEL;3G;0;;;;;;;0.50
222;PERSONAL AREA NETWORK;3G;0;;;;;;;0.50
223;PHISHING;3G;0;;;;;;;-1.50
224;PHONE NETWORK;3G;0;;;;;;;-0.50
225;PHP;3G;0;;;;;;;-0.50
226;PORT NUMBER;3G;0;;;;;;;-1.25
227;POST OFFICE PROTOCOL VERSION 3;3G;0;;;;;;;-1.00
228;PRINT SERVER;3G;0;;;;;;;0.50
229;PRIVATE-KEY;3G;0;;;;;;;-1.50
230;PROTOCOL;3G;0;;;;;;;-1.00
231;PROXY SERVER;3G;0;;;;;;;-1.50
232;PUBLIC-KEY;3G;0;;;;;;;-1.50
233;PUBLIC-KEY ENCRYPTION;3G;0;;;;;;;-1.50
234;REGISTERED DOMAIN;3G;0;;;;;;;0.00
235;REMOTE MAIL SERVER;3G;0;;;;;;;-1.00
236;REMOTE SERVER;3G;0;;;;;;;-1.00
237;REPEATER;3G;0;;;;;;;0.50
238;ROUTER;3G;0;;;;;;;-0.25
239;SECURE SHELL;3G;0;;;;;;;-1.00
240;SECURE SOCKET LAYER;3G;0;;;;;;;-1.50
241;SERVER;3G;0;;;;;;;-1.00
242;SERVER SIDE;3G;0;;;;;;;-1.00
243;SERVLETS;3G;0;;;;;;;-0.50
244;SIMPLE MAIL TRANSFER PROTOCOL;3G;0;;;;;;;-1.00
245;SOFTWARE;3G;0;;;;;;;-1.00
246;SPYWARE;3G;0;;;;;;;-1.50
247;STAR;3G;0;;;;;;;-1.00
248;SUBDOMAINS;3G;0;;;;;;;0.00
249;SWITCH;3G;0;;;;;;;0.50
250;TAG;3G;0;;;;;;;-1.00
251;TIER-1 INTERNET SERVICE PROVIDER;3G;0;;;;;;;0.00
252;TIER-2 INTERNET SERVICE PROVIDER;3G;0;;;;;;;0.00
253;TIER-3 INTERNET SERVICE PROVIDER;3G;0;;;;;;;0.00
254;TOP-LEVEL DOMAINS;3G;0;;;;;;;0.00
255;TRADITIONAL TELEPHONE;3G;0;;;;;;;-0.50
256;TRANSMISSION CONTROL PROTOCOL;3G;0;;;;;;;-1.00
257;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;3G;0;;;;;;;-1.00
258;TRANSPORT LAYER;3G;0;;;;;;;-1.00
259;TROJAN HORSE;3G;0;;;;;;;-1.50
260;UNIFORM RESOURCE LOCATOR;3G;0;;;;;;;-0.75
261;USER DATAGRAM PROTOCOL;3G;0;;;;;;;-1.00
262;VIRUS;3G;0;;;;;;;-1.50
263;VOICE OVER INTERNET PROTOCOL;3G;0;;;;;;;-1.00
264;WEBSERVER;3G;0;;;;;;;-1.00
265;WIDE AREA NETWORK;3G;0;;;;;;;-0.50
266;WIRELESS NETWORK;3G;0;;;;;;;0.50
267;WORLD WIDE WEB;3G;0;;;;;;;-0.50
268;WORM;3G;0;;;;;;;-1.50
269;SECOND GENERATION;3G;0;;;;;;;-1.50
270;EMAIL;3G;0;;;;;;;-1.00
271;CLIENT-SIDE;3G;0;;;;;;;-1.00
272;SERVER-SIDE;3G;0;;;;;;;-1.00
273;SERVLET;3G;0;;;;;;;-0.50
274;WEBSERVERS;3G;0;;;;;;;-1.00
275;4G;3G;0;;;;;;;0.00
276;ANTIVIRUS SOFTWARE;3G;0;;;;;;;-1.50
277;SEARCH ENGINE;3G;0;;;;;;;0.00
278;WIFI NETWORK;3G;0;;;;;;;-0.25
279;1G;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
280;3G;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
281;ACCESS POINT;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
282;ACTIVE SERVER PAGE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
283;ADDRESSING SYSTEM;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
284;APPLICATION LAYER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
285;AUDITING SOFTWARE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
286;BIT PATTERN;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
287;BODY;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.70
288;BRIDGE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
289;BROWSER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
290;BUS;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
291;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.70
292;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.70
293;CERTIFICATE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
294;CERTIFICATE AUTHORITY;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
295;CLIENT;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
296;CLIENT SIDE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
297;CLIENT/SERVER MODEL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
298;CLOUD COMPUTING;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.30
299;CLUSTER COMPUTE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
300;COLLISION AVOIDANCE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.70
301;COLLISION DETECTION;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.70
302;COMPUTER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
303;COMPUTER SYSTEM;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
304;CONTENT DELIVERY NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
305;DENIAL OF SERVICE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
306;DIGITAL SIGNATURE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
307;DISTRIBUTED SYSTEM;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
308;DOMAIN;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
309;DOMAIN NAME;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
310;DOMAIN NAME SYSTEM;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
311;ENCRYPTION;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
312;END SYSTEM;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
313;END USER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
314;ETHERNET NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
315;EXTENSIBLE MARKUP LANGUAGE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
316;FILE SERVER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
317;FILE TRANSFER PROTOCOL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
318;FIREWALL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
319;FORWARDING TABLE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
320;GATEWAY;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.55
321;GRID COMPUTE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
322;HEAD;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
323;HIDDEN TERMINAL PROBLEM;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
324;HOP COUNT;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
325;HOT SPOT;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
326;HUB;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
327;HYPERTEXT;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
328;HYPERTEXT DOCUMENT;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
329;HYPERTEXT MARKUP LANGUAGE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
330;HYPERTEXT TRANSFER PROTOCOL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
331;HYPERTEXT TRANSFER PROTOCOL SERVER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
332;INSTANT MESSAGING;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.30
333;INTERNET;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
334;INTERNET INFRASTRUCTURE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
335;INTERNET MAIL ACCESS PROTOCOL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
336;INTERNET PROTOCOL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
337;INTERNET PROTOCOL ADDRESS;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
338;INTERNET PROTOCOL NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
339;INTERNET SERVICE PROVIDER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
340;INTERNET SOFTWARE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
341;INTERNET2;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
342;INTERPROCESS COMMUNICATION;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
343;INTRANET;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
344;JAVASERVER PAGE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
345;LINK LAYER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
346;LOCAL AREA NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.30
347;MAGNETIC DISK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
348;MAIL SERVER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
349;MALICIOUS SOFTWARE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-0.20
350;MASS STORAGE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
351;METROPOLITAN AREA NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.30
352;MNEMONIC ADDRESS;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
353;MNEMONIC DOMAIN NAME;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.50
354;NAME SERVER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
355;NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
356;NETWORK LAYER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
357;NETWORK NEWS TRANSFER PROTOCOL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
358;NETWORK SOFTWARE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
359;OPEN NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.25
360;PEER-TO-PEER MODEL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.30
361;PERSONAL AREA NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.30
362;PHISHING;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
363;PHONE NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
364;PHP;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
365;PORT NUMBER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
366;POST OFFICE PROTOCOL VERSION 3;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.50
367;PRINT SERVER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
368;PRIVATE-KEY;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
369;PROTOCOL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
370;PROXY SERVER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
371;PUBLIC-KEY;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
372;PUBLIC-KEY ENCRYPTION;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
373;REGISTERED DOMAIN;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
374;REMOTE MAIL SERVER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.50
375;REMOTE SERVER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.50
376;REPEATER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
377;ROUTER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.00
378;SECURE SHELL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.50
379;SECURE SOCKET LAYER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
380;SERVER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
381;SERVER SIDE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
382;SERVLETS;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
383;SIMPLE MAIL TRANSFER PROTOCOL;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
384;SOFTWARE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.00
385;SPYWARE;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;-1.00
386;STAR;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.25
387;SUBDOMAINS;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
388;SWITCH;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.30
389;TAG;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;0.25
390;TIER-1 INTERNET SERVICE PROVIDER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
391;TIER-2 INTERNET SERVICE PROVIDER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
392;TIER-3 INTERNET SERVICE PROVIDER;ACCESS INTERNET SERVICE PROVIDER;0;;;;;;;1.25
