PR containing manual concept,prerequisite,advanced,sentID,weight,agreem,sent-1,sent,sent+1,Revised,Semantic Relation Type,Linguistic Type,Problem,Uncertain ?,Comments,Transitive,,Helper_rel,
TRUE,MACHINE,PROTOCOL,41,strong,1,"Thus, the development of protocol standards is an indispensable process in the development of networking technologies.","As an introduction to the protocol concept, let us consider the problem of coordinating the transmission of messages among computers in a network.","Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.","0,5",is example,,weight,,,0,"MACHINE,PROTOCOL","MACHINE,PROTOCOL",0
FALSE,ETHERNET NETWORK,CARRIER SENSE,43,strong,1,"Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.","In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).",This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).,0,,,not a concept,,,0,"ETHERNET_NETWORK,CARRIER_SENSE","ETHERNET NETWORK,CARRIER SENSE",0
FALSE,ACCESS INTERNET SERVICE PROVIDER,INTERNET ACCESS,193,strong,1,Perhaps the fastest growing are wireless connections based on wifi technology.,The strategy is to connect the access point to an access internet service provider and thus provide internet access through that internet service provider to end systems within the access point's broadcast range.,"The area within the access point or group of access points' range is often called a hot spot, particularly when the network access is publicly available or free.",0,,,not a concept,,,1,"ACCESS_INTERNET_SERVICE_PROVIDER,INTERNET_ACCESS","ACCESS INTERNET SERVICE PROVIDER,INTERNET ACCESS",1
FALSE,ACCESS POINT,INTERNET ACCESS,193,strong,1,Perhaps the fastest growing are wireless connections based on wifi technology.,The strategy is to connect the access point to an access internet service provider and thus provide internet access through that internet service provider to end systems within the access point's broadcast range.,"The area within the access point or group of access points' range is often called a hot spot, particularly when the network access is publicly available or free.",0,,,not a concept,,,0,"ACCESS_POINT,INTERNET_ACCESS","ACCESS POINT,INTERNET ACCESS",0
FALSE,END SYSTEM,INTERNET ACCESS,193,strong,1,Perhaps the fastest growing are wireless connections based on wifi technology.,The strategy is to connect the access point to an access internet service provider and thus provide internet access through that internet service provider to end systems within the access point's broadcast range.,"The area within the access point or group of access points' range is often called a hot spot, particularly when the network access is publicly available or free.",0,,,not a concept,,,0,"END_SYSTEM,INTERNET_ACCESS","END SYSTEM,INTERNET ACCESS",0
FALSE,INTERNET SERVICE PROVIDER,INTERNET ACCESS,193,strong,1,Perhaps the fastest growing are wireless connections based on wifi technology.,The strategy is to connect the access point to an access internet service provider and thus provide internet access through that internet service provider to end systems within the access point's broadcast range.,"The area within the access point or group of access points' range is often called a hot spot, particularly when the network access is publicly available or free.",0,,,not a concept,,,0,"INTERNET_SERVICE_PROVIDER,INTERNET_ACCESS","INTERNET SERVICE PROVIDER,INTERNET ACCESS",0
FALSE,WIFI NETWORK,INTERNET ACCESS,193,strong,1,Perhaps the fastest growing are wireless connections based on wifi technology.,The strategy is to connect the access point to an access internet service provider and thus provide internet access through that internet service provider to end systems within the access point's broadcast range.,"The area within the access point or group of access points' range is often called a hot spot, particularly when the network access is publicly available or free.",0,,,not a concept,,,0,"WIFI_NETWORK,INTERNET_ACCESS","WIFI NETWORK,INTERNET ACCESS",0
TRUE,COMPUTER,INTERNET MAIL ACCESS PROTOCOL,303,strong,1,This is done on the user's local machine using the local machine's mass storage.,"internet mail access protocol (pronounced "" EYE-map "") allows a user to store and manipulate messages and related materials on the same machine as the mail server.","In this manner, a user who must access his or her email from different computers can maintain records at the mail server that are then accessible from any remote computer to which the user may have access.","0,5",is example,,weight,,,1,"COMPUTER,INTERNET_MAIL_ACCESS_PROTOCOL","COMPUTER,INTERNET MAIL ACCESS PROTOCOL",1
TRUE,SERVER SIDE,ASP,477,strong,1,In this case webpage templates called javaserver pages (JSP) are stored at the webserver and completed using information received from a client.,"A similar approach is used by Microsoft, where the templates from which customized webpages are constructed are called active server pages (ASP).","In contrast to these proprietary systems, PHP (originally standing for Personal Home Page but now considered to mean PHP Hypertext Preprocessor) is an open source system for implementing server-side functionality.",0,,,not a concept,,,0,"SERVER_SIDE,ASP","SERVER SIDE,ASP",0
FALSE,TRANSPORT LAYER,LINK LAYER,523,strong,1,It is the network layer's job to decide in which direction a packet should be sent at each step along the packet's path through the Internet.,"In fact, the combination of the network layer and the link layer below it constitutes the software residing on the Internet routers.",The network layer is in charge of maintaining the router's forwarding table and using that table to determine the direction in which to forward packets.,0,,,co-requisites,,,0,"TRANSPORT_LAYER,LINK_LAYER","TRANSPORT LAYER,LINK LAYER",0
FALSE,COMPUTER,TROJAN HORSE,613,strong,1,A characteristic consequence of a worm is an explosion of the worm's replicated copies that degrades the performance of legitimate applications and can ultimately overload an entire network or internet.,"A trojan horse is a program that enters a computer system disguised as a desirable program, such as a game or useful utility package, that is willingly imported by the victim.","Once in the computer, however, the trojan horse performs additional activities that might have harmful effects.",1,p usa a o viceversa,,,,,1,"COMPUTER,TROJAN_HORSE","COMPUTER,TROJAN HORSE",1
FALSE,MALICIOUS SOFTWARE,PROXY SERVER,659,strong,1,"These filters are examples of how a variety of subject areas (probability theory, artificial intelligence, etc.) can jointly contribute to developments in other fields.",Another preventative tool that has filtering connotations is the proxy server.,A proxy server is a software unit that acts as an intermediary between a client and a server with the goal of shielding the client from adverse actions of the server.,1,p usa a o viceversa,,,,,0,"MALICIOUS_SOFTWARE,PROXY_SERVER","MALICIOUS SOFTWARE,PROXY SERVER",0
FALSE,MALICIOUS SOFTWARE,AUDITING SOFTWARE,671,strong,1,"For example, an file transfer protocol proxy server could check all incoming files for the presence of known viruses and block all infected files.",Still another tool for preventing problems in a network environment is auditing software that is similar to the auditing software we learned about in our discussion on operating system security (Section 3.5).,"Using network auditing software, a system administrator can detect a sudden increase in message traffic at various locations within the administrator's realm, monitor the activities of the system's firewalls, and analyze the pattern of requests being made by the individual computers in order to detect irregularities.",1,p usa a o viceversa,,,,,1,"MALICIOUS_SOFTWARE,AUDITING_SOFTWARE","MALICIOUS SOFTWARE,AUDITING SOFTWARE",1
TRUE,ACCESS POINT,STAR,28,strong,1,"As the simple terminals employed by these users grew into small computers themselves, a star network emerged.","Today, the star configuration is popular in wireless networks where communication is conducted by means of radio broadcast and the central machine, called the access point (AP), serves as a focal point around which all communication is coordinated.",The difference between a bus network and a star network is not always obvious by the physical arrangement of equipment.,1,p usa a o viceversa,,,,,0,"ACCESS_POINT,STAR","ACCESS POINT,STAR",0
TRUE,NETWORK,HUB,33,strong,1,"Instead, it may have a very short bus with long links to the individual machines, meaning that the network would look more like a star.","Indeed, sometimes a bus network is created by running links from each computer to a central location where they are connected to a device called a hub.",This hub is little more than a very short bus.,1,p usa a o viceversa,,,,,1,"NETWORK,HUB","NETWORK,HUB",1
TRUE,COMPUTER,PROTOCOL,41,strong,1,"Thus, the development of protocol standards is an indispensable process in the development of networking technologies.","As an introduction to the protocol concept, let us consider the problem of coordinating the transmission of messages among computers in a network.","Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.",1,p usa a o viceversa,,,,,1,"COMPUTER,PROTOCOL","COMPUTER,PROTOCOL",1
TRUE,MESSAGE,PROTOCOL,41,strong,1,"Thus, the development of protocol standards is an indispensable process in the development of networking technologies.","As an introduction to the protocol concept, let us consider the problem of coordinating the transmission of messages among computers in a network.","Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.",1,p usa a o viceversa ,,,,,0,"MESSAGE,PROTOCOL","MESSAGE,PROTOCOL",0
FALSE,MESSAGE,HIDDEN TERMINAL PROBLEM,55,strong,1,"For example, the machine may not hear the other because its own signal drowns out that of the other machine.","Another cause might be that the signals from the different machines are blocked from each other by objects or distance even though they can all communicate with the central access point (a condition known as the hidden terminal problem, Figure 4.3).",The result is that wireless networks adopt the policy of trying to avoid collisions rather than trying to detect them.,1,p usa a o viceversa ,,,,,0,"MESSAGE,HIDDEN_TERMINAL_PROBLEM","MESSAGE,HIDDEN TERMINAL PROBLEM",0
FALSE,MESSAGE,COLLISION AVOIDANCE,58,strong,1,"Such policies are classified as carrier sense, multiple access with collision avoidance (CSMA/CA), many of which are standardized by IEEE (see the sidebar "" Institute of Electrical and Electronics Engineers "" in Chapter 7) within the protocols defined in IEEE 802.11 and commonly referred to as wifi.",We emphasize that collision avoidance protocols are designed to avoid collisions and may not eliminate them completely.,"When collisions do occur, messages must be retransmitted.",1,p usa a o viceversa ,,,,,1,"MESSAGE,COLLISION_AVOIDANCE","MESSAGE,COLLISION AVOIDANCE",1
FALSE,COLLISION AVOIDANCE,BUSY CHANNEL,64,strong,1,"Instead, it waits for a short period of time and then starts transmitting only if the channel has remained silent throughout that period.","If a busy channel is experienced during this process, the machine waits for a randomly determined period before trying again.","Once this period is exhausted, the machine is allowed to claim a silent channel without hesitation.",1,in-depth,,,,,0,"COLLISION_AVOIDANCE,BUSY_CHANNEL","COLLISION AVOIDANCE,BUSY CHANNEL",0
FALSE,COLLISION AVOIDANCE,SILENT CHANNEL,65,strong,1,"If a busy channel is experienced during this process, the machine waits for a randomly determined period before trying again.","Once this period is exhausted, the machine is allowed to claim a silent channel without hesitation.","This means that collisions between "" newcomers "" and those that have already been waiting are avoided because a "" newcomer "" is not allowed to claim a silent channel until any machine that has been waiting is given the opportunity to start.",1,in-depth,,,,,0,"COLLISION_AVOIDANCE,SILENT_CHANNEL","COLLISION AVOIDANCE,SILENT CHANNEL",0
FALSE,COLLISION AVOIDANCE,ACCESS POINT,69,strong,1,"After all, any protocol based on distinguishing between a silent or busy channel requires that each individual station be able to hear all the others.","To solve this problem, some wifi networks require that each machine send a short "" request "" message to the access point and wait until the access point acknowledges that request before transmitting an entire message.","If the access point is busy because it is dealing with a "" hidden terminal "", it will ignore the request, and the requesting machine will know to wait.",1,in-depth,,,,,0,"COLLISION_AVOIDANCE,ACCESS_POINT","COLLISION AVOIDANCE,ACCESS POINT",0
TRUE,MESSAGE,BRIDGE,79,strong,1,"The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).","A bridge is similar to, but more complex than, a repeater.","Like a repeater, it connects two buses, but it does not necessarily pass all messages across the connection.",1,p usa a o viceversa ,,,,,0,"MESSAGE,BRIDGE","MESSAGE,BRIDGE",0
FALSE,MESSAGE,FORWARDING TABLE,108,strong,1,From there it is forwarded in the proper direction.,"For this forwarding purpose, each router maintains a forwarding table that contains the router's knowledge about the direction in which messages should be sent depending on their destination addresses.","The "" point "" at which one network is linked to an internet is often called a gateway because it serves as a passageway between the network and the outside world.",1,p usa a o viceversa ,,,,,1,"MESSAGE,FORWARDING_TABLE","MESSAGE,FORWARDING TABLE",1
FALSE,NETWORK,FORWARDING TABLE,108,strong,1,From there it is forwarded in the proper direction.,"For this forwarding purpose, each router maintains a forwarding table that contains the router's knowledge about the direction in which messages should be sent depending on their destination addresses.","The "" point "" at which one network is linked to an internet is often called a gateway because it serves as a passageway between the network and the outside world.",1,p usa a o viceversa ,,,,,1,"NETWORK,FORWARDING_TABLE","NETWORK,FORWARDING TABLE",1
FALSE,NETWORK,PEER-TO-PEER MODEL,130,strong,1,"Whereas the client/server model involves one process (the server) providing a service to numerous others (clients), the peer-topeer model involves processes that provide service to and receive service from each other (Figure 4.6).","Moreover, whereas a server must execute continuously so that it is prepared to serve its clients at any time, the peer-to-peer model usually involves processes that execute on a temporary basis.","For example, applications of the peer-to-peer model include instant messaging in which people carry on a written conversation over the Internet as well as situations in which people play competitive interactive games.",1,p usa a o viceversa ,,,,,1,"NETWORK,PEER-TO-PEER_MODEL","NETWORK,PEER-TO-PEER MODEL",1
TRUE,MACHINE,DISTRIBUTED SYSTEM,152,strong,1,Several types of distributed computing systems are now common.,Cluster computing describes a distributed system in which many independent computers work closely together to provide computation or services comparable to a much larger machine.,"The cost of these individual machines, plus the high-speed network to connect them, can be less than a higher-priced supercomputer, but with higher reliability and lower maintenance costs.","0,5",p usa a o viceversa,,weight,,,0,"MACHINE,DISTRIBUTED_SYSTEM","MACHINE,DISTRIBUTED SYSTEM",0
FALSE,COMPUTER,INTERNET PROTOCOL ADDRESS,215,strong,1,"As we learned in Section 4.1, an internet needs an internet-wide addressing system that assigns a unique identifying address to each computer in the system.",In the Internet these addresses are known as internet protocol addresses.,"The term internet protocol refers to "" internet protocol "", which is a term we will learn more about in Section 4.4.",1,p usa a o viceversa,,,,,1,"COMPUTER,INTERNET_PROTOCOL_ADDRESS","COMPUTER,INTERNET PROTOCOL ADDRESS",1
TRUE,DOTTED DECIMAL NOTATION,INTERNET PROTOCOL ADDRESS,220,strong,1,The internet service providers are then allowed to allocate the addresses within their awarded blocks to machines within their region of authority.,"Thus, machines throughout the Internet are assigned unique internet protocol addresses. internet protocol addresses are traditionally written in dotted decimal notation in which the bytes of the address are separated by periods and each byte is expressed as an integer represented in traditional base 10 notation.","For example, using dotted decimal notation, the pattern 5.2 would represent the two-byte bit pattern 0000010100000010, which consists of the byte 00000101 (represented by 5) followed by the byte 00000010 (represented by 2), and the pattern 17.12.25 would represent the three-byte bit pattern consisting of the byte 00010001 (which is 17 written in binary notation), followed by the byte 00001100 (12 written in binary), followed by the byte 00011001 (25 written in binary).",1,p usa a o viceversa ,,,,,0,"DOTTED_DECIMAL_NOTATION,INTERNET_PROTOCOL_ADDRESS","DOTTED DECIMAL NOTATION,INTERNET PROTOCOL ADDRESS",0
TRUE,BIT PATTERN,DOTTED DECIMAL NOTATION,221,strong,1,"Thus, machines throughout the Internet are assigned unique internet protocol addresses. internet protocol addresses are traditionally written in dotted decimal notation in which the bytes of the address are separated by periods and each byte is expressed as an integer represented in traditional base 10 notation.","For example, using dotted decimal notation, the pattern 5.2 would represent the two-byte bit pattern 0000010100000010, which consists of the byte 00000101 (represented by 5) followed by the byte 00000010 (represented by 2), and the pattern 17.12.25 would represent the three-byte bit pattern consisting of the byte 00010001 (which is 17 written in binary notation), followed by the byte 00001100 (12 written in binary), followed by the byte 00011001 (25 written in binary).","In summary, a 32-bit internet protocol address might appear as 192.207.177.133 when expressed in dotted decimal notation.",1,p usa a o viceversa ,,,,,0,"BIT_PATTERN,DOTTED_DECIMAL_NOTATION","BIT PATTERN,DOTTED DECIMAL NOTATION",0
TRUE,PROTOCOL,NAME SERVER,245,strong,1,"Thus, if a human wants to send a message to a distant machine and identifies the destination by means of a mnemonic address, the software being used must be able to convert that address into an internet protocol address before transmitting the message.","This conversion is performed with the aid of numerous servers, called name servers, that are essentially directories that provide address translation services to clients.","Collectively, these name servers are used as an Internet-wide directory system known as the domain name system (DNS).",1,p usa a o viceversa ,,,,,1,"PROTOCOL,NAME_SERVER","PROTOCOL,NAME SERVER",1
TRUE,COMPUTER,SIMPLE MAIL TRANSFER PROTOCOL,268,strong,1,"One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.","While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.",Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.,"0,5",p usa a o viceversa,,weight,,,1,"COMPUTER,SIMPLE_MAIL_TRANSFER_PROTOCOL","COMPUTER,SIMPLE MAIL TRANSFER PROTOCOL",1
FALSE,INTERNET,SIMPLE MAIL TRANSFER PROTOCOL,268,strong,1,"One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.","While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.",Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.,1,p usa a o viceversa ,,,,,1,"INTERNET,SIMPLE_MAIL_TRANSFER_PROTOCOL","INTERNET,SIMPLE MAIL TRANSFER PROTOCOL",1
FALSE,MAIL SERVER,SIMPLE MAIL TRANSFER PROTOCOL,269,strong,1,"While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.",Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.,"Consider the example case of a mail server mail.skaro.gov sending an email from end user "" dalek "" to end user "" doctor "" in the domain tardis.edu.",1,is example,,,,,1,"MAIL_SERVER,SIMPLE_MAIL_TRANSFER_PROTOCOL","MAIL SERVER,SIMPLE MAIL TRANSFER PROTOCOL",1
FALSE,NETWORK,SIMPLE MAIL TRANSFER PROTOCOL,269,strong,1,"While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.",Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.,"Consider the example case of a mail server mail.skaro.gov sending an email from end user "" dalek "" to end user "" doctor "" in the domain tardis.edu.",1,p usa a o viceversa ,,,,,1,"NETWORK,SIMPLE_MAIL_TRANSFER_PROTOCOL","NETWORK,SIMPLE MAIL TRANSFER PROTOCOL",1
FALSE,INTERNET PROTOCOL ADDRESS,DOMAIN NAME SYSTEM,272,strong,1,"First, a mail handling process on mail.skaro.gov contacts the mail server process on mail.tardis.edu.","To accomplish this, it uses domain name system, another network protocol, to map the human-readable destination domain name to the proper mail server name, and then to its internet protocol address.",This is not unlike looking up the phone number of an acquaintance before dialing.,1,p usa a o viceversa ,,,,,1,"INTERNET_PROTOCOL_ADDRESS,DOMAIN_NAME_SYSTEM","INTERNET PROTOCOL ADDRESS,DOMAIN NAME SYSTEM",1
FALSE,MAIL SERVER,DOMAIN NAME SYSTEM,272,strong,1,"First, a mail handling process on mail.skaro.gov contacts the mail server process on mail.tardis.edu.","To accomplish this, it uses domain name system, another network protocol, to map the human-readable destination domain name to the proper mail server name, and then to its internet protocol address.",This is not unlike looking up the phone number of an acquaintance before dialing.,1,p usa a o viceversa,,,,,0,"MAIL_SERVER,DOMAIN_NAME_SYSTEM","MAIL SERVER,DOMAIN NAME SYSTEM",0
FALSE,COMPUTER,POST OFFICE PROTOCOL VERSION 3,301,strong,1,"These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced "" pop-THREE "") is the simpler of the two.","Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.",This is done on the user's local machine using the local machine's mass storage.,1,p usa a o viceversa,,,,,1,"COMPUTER,POST_OFFICE_PROTOCOL_VERSION_3","COMPUTER,POST OFFICE PROTOCOL VERSION 3",1
FALSE,MACHINE,VOICE OVER INTERNET PROTOCOL,306,strong,1,VoIP,"As an example of a more recent Internet application, consider voice over internet protocol (VoIP) in which the internet infrastructure is used to provide voice communication similar to that of traditional telephone systems.","In its simplest form, voice over internet protocol consists of two processes on different machines transferring audio data via the peer-to-peer model-a process that in itself presents no significant problems.",1,p usa a o viceversa,,,,,1,"MACHINE,VOICE_OVER_INTERNET_PROTOCOL","MACHINE,VOICE OVER INTERNET PROTOCOL",1
FALSE,TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE,VOICE OVER INTERNET PROTOCOL,318,strong,1,This choice is frequently bundled with traditional Internet service and/or digital television service.,"The third type of voice over internet protocol comes in the form of embedded voice over internet protocol phones, which are devices that replace a traditional telephone with an equivalent handset connected directly to a transmission control protocol/internet protocol network.","Embedded voice over internet protocol phones are becoming increasingly common for large organizations, many of whom are replacing their traditional internal copper wire telephone systems with voice over internet protocol over Ethernet to reduce costs and enhance features.",1,p usa a o viceversa ,,,,,0,"TRANSMISSION_CONTROL_PROTOCOL/INTERNET_PROTOCOL_PROTOCOL_SUITE,VOICE_OVER_INTERNET_PROTOCOL","TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE,VOICE OVER INTERNET PROTOCOL",0
FALSE,NETWORK,VOICE OVER INTERNET PROTOCOL,320,strong,1,"Embedded voice over internet protocol phones are becoming increasingly common for large organizations, many of whom are replacing their traditional internal copper wire telephone systems with voice over internet protocol over Ethernet to reduce costs and enhance features.","Finally, the current generation of smartphones use wireless voice over internet protocol technology.","That is, earlier generations of wireless phones only communicated with the telephone company's network using that company's protocols.",1,,,,,,1,"NETWORK,VOICE_OVER_INTERNET_PROTOCOL","NETWORK,VOICE OVER INTERNET PROTOCOL",1
FALSE,COMPUTER,4G,323,strong,1,"Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.","However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.",Internet Multimedia Streaming,0,,,annotation error,,,1,"COMPUTER,4G","COMPUTER,4G",1
FALSE,NETWORK,1G,332,strong,1,"The first generation wireless telephone network transmitted analog voice signals through the air, much like traditional telephones but without the copper wire running into the wall.","In retrospect, we call these early phones "" 1G "", or first generation.","The second generation used digital signals to encode voice, providing more effective use of the airwaves, and the transmission of other kinds of digital data, like text messaging.",1,,,p testa del composto,,,0,"NETWORK,1G","NETWORK,1G",0
FALSE,NETWORK,3G,334,strong,1,"The second generation used digital signals to encode voice, providing more effective use of the airwaves, and the transmission of other kinds of digital data, like text messaging.","The Third Generation ("" 3G "") phone network provided higher data rates, allowing for mobile video calls and other bandwidth-intensive activities.","The 4G network provides even higher data rates and a fully packet-switched internet protocol network, which has allowed smartphones to enjoy the connectivity and flexibility previously available only to broadband-enabled PCs.",1,,,p testa del composto,,,0,"NETWORK,3G","NETWORK,3G",0
TRUE,COMPUTER,WEBSERVER,358,strong,1,"Common Internet browsers include Firefox, Safari, and Internet Explorer.",The webserver resides on a computer containing hypertext documents to be accessed.,Its task is to provide access to the documents under its control as requested by clients (browsers).,1,p usa a o viceversa,,,,,1,"COMPUTER,WEBSERVER","COMPUTER,WEBSERVER",1
TRUE,WORLD WIDE WEB,UNIFORM RESOURCE LOCATOR,361,strong,1,Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).,"In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).",Each uniform resource locator contains the information needed by a browser to contact the proper server and request the desired document.,1,p usa a o viceversa,,,,,0,"WORLD_WIDE_WEB,UNIFORM_RESOURCE_LOCATOR","WORLD WIDE WEB,UNIFORM RESOURCE LOCATOR",0
