;prerequisite;advanced;Direct Edge;Path;Not in Gold;TP;TN;FP;FN;Path chain;FN Path
32;NETWORK;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;0;1;0;1;0;0;0;['NETWORK', 'PROTOCOL', 'TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK'];0
33;NETWORK;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;0;1;0;1;0;0;0;['NETWORK', 'PROTOCOL', 'CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION'];0
34;NETWORK;COLLISION DETECTION;0;0;1;0;0;1;0;;0
35;NETWORK;PROXY SERVER;0;1;0;1;0;0;0;['NETWORK', 'SERVER', 'PROXY SERVER'];0
36;NETWORK;WIDE AREA NETWORK;1;0;0;1;0;0;0;;0
37;NETWORK;ETHERNET NETWORK;1;0;0;1;0;0;0;;0
38;NETWORK;INTERNET SERVICE PROVIDER;1;0;0;1;0;0;0;;0
39;NETWORK;LOCAL AREA NETWORK;1;0;0;1;0;0;0;;0
40;NETWORK;NAME SERVER;0;1;0;1;0;0;0;['NETWORK', 'SERVER', 'NAME SERVER'];0
41;NETWORK;MAIL SERVER;0;1;0;1;0;0;0;['NETWORK', 'SIMPLE MAIL TRANSFER PROTOCOL', 'MAIL SERVER'];0
42;NETWORK;WORLD WIDE WEB;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'WORLD WIDE WEB'];0
43;NETWORK;SOFTWARE;0;0;0;0;0;1;0;;0
44;NETWORK;END USER;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'END USER'];0
45;NETWORK;METROPOLITAN AREA NETWORK;1;0;0;1;0;0;0;;0
46;NETWORK;REPEATER;0;1;0;1;0;0;0;['NETWORK', 'BUS', 'REPEATER'];0
47;NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;1;0;0;1;0;0;0;;0
48;NETWORK;LINK LAYER;0;1;0;1;0;0;0;['NETWORK', 'ROUTER', 'LINK LAYER'];0
49;NETWORK;EMAIL;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'EMAIL'];0
50;NETWORK;WIFI NETWORK;1;0;0;1;0;0;0;;0
51;NETWORK;PRIVATE-KEY;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'ENCRYPTION', 'PRIVATE-KEY'];0
52;NETWORK;NETWORK LAYER;0;1;0;1;0;0;0;['NETWORK', 'ROUTER', 'NETWORK LAYER'];0
53;NETWORK;ANTIVIRUS SOFTWARE;1;0;0;1;0;0;0;;0
54;NETWORK;AUDITING SOFTWARE;1;0;0;1;0;0;0;;0
55;NETWORK;DOMAIN NAME;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'DOMAIN', 'DOMAIN NAME'];0
56;NETWORK;VOICE OVER INTERNET PROTOCOL;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'VOICE OVER INTERNET PROTOCOL'];0
57;NETWORK;INTERNET PROTOCOL NETWORK;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'INTERNET PROTOCOL', 'INTERNET PROTOCOL NETWORK'];0
58;NETWORK;SECURE SOCKET LAYER;0;1;0;1;0;0;0;['NETWORK', 'SERVER', 'SECURE SOCKET LAYER'];0
59;NETWORK;REMOTE MAIL SERVER;0;1;0;1;0;0;0;['NETWORK', 'SIMPLE MAIL TRANSFER PROTOCOL', 'REMOTE MAIL SERVER'];0
60;NETWORK;TRADITIONAL TELEPHONE;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'TRADITIONAL TELEPHONE'];0
61;NETWORK;BRIDGE;0;1;0;1;0;0;0;['NETWORK', 'BUS', 'BRIDGE'];0
62;NETWORK;DOMAIN NAME SYSTEM;0;1;0;1;0;0;0;['NETWORK', 'PROTOCOL', 'DOMAIN NAME SYSTEM'];0
63;NETWORK;WIRELESS NETWORK;1;0;0;1;0;0;0;;0
64;NETWORK;INTERNET2;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'INTERNET2'];0
65;NETWORK;HOT SPOT;0;1;0;1;0;0;0;['NETWORK', 'WIRELESS NETWORK', 'ACCESS POINT', 'HOT SPOT'];0
66;NETWORK;WORM;1;0;0;1;0;0;0;;0
67;NETWORK;SECOND GENERATION;0;1;0;1;0;0;0;['NETWORK', 'PHONE NETWORK', 'SECOND GENERATION'];0
68;NETWORK;PHONE NETWORK;1;0;0;1;0;0;0;;0
69;NETWORK;1G;0;1;0;1;0;0;0;['NETWORK', 'PHONE NETWORK', '1G'];0
70;NETWORK;3G;0;1;0;1;0;0;0;['NETWORK', 'PHONE NETWORK', '3G'];0
71;NETWORK;4G;1;0;0;1;0;0;0;;0
72;NETWORK;TROJAN HORSE;0;1;0;1;0;0;0;['NETWORK', 'MALICIOUS SOFTWARE', 'TROJAN HORSE'];0
73;NETWORK;REMOTE SERVER;0;1;0;1;0;0;0;['NETWORK', 'SERVER', 'REMOTE SERVER'];0
74;NETWORK;INTERNET PROTOCOL ADDRESS;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'INTERNET PROTOCOL ADDRESS'];0
75;NETWORK;END SYSTEM;1;0;0;1;0;0;0;;0
76;NETWORK;INTRANET;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'INTRANET'];0
77;NETWORK;ENCRYPTION;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'ENCRYPTION'];0
78;NETWORK;INTERNET PROTOCOL;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'INTERNET PROTOCOL'];0
79;NETWORK;BROWSER;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'BROWSER'];0
80;NETWORK;VIRUS;0;1;0;1;0;0;0;['NETWORK', 'MALICIOUS SOFTWARE', 'VIRUS'];0
81;NETWORK;HYPERTEXT TRANSFER PROTOCOL;0;1;0;1;0;0;0;['NETWORK', 'PROTOCOL', 'HYPERTEXT TRANSFER PROTOCOL'];0
82;NETWORK;DENIAL OF SERVICE;0;1;0;1;0;0;0;['NETWORK', 'SERVER', 'WEBSERVER', 'DENIAL OF SERVICE'];0
83;NETWORK;FILE TRANSFER PROTOCOL;0;1;0;1;0;0;0;['NETWORK', 'PROTOCOL', 'FILE TRANSFER PROTOCOL'];0
84;NETWORK;DOMAIN;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'DOMAIN'];0
85;NETWORK;FORWARDING TABLE;0;1;0;1;0;0;0;['NETWORK', 'ROUTER', 'FORWARDING TABLE'];0
86;NETWORK;MALICIOUS SOFTWARE;1;0;0;1;0;0;0;;0
87;NETWORK;COMPUTER SYSTEM;0;0;0;0;0;1;0;;0
88;INTERNET;ROUTER;1;0;0;1;0;0;0;;0
89;INTERNET;APPLICATION LAYER;1;0;0;1;0;0;0;;0
90;INTERNET;PROTOCOL;1;0;0;1;0;0;0;;0
91;INTERNET;INTERNET PROTOCOL;1;0;0;1;0;0;0;;0
92;INTERNET;TRANSPORT LAYER;0;1;0;1;0;0;0;['INTERNET', 'INTERNET SOFTWARE', 'TRANSPORT LAYER'];0
93;INTERNET;SERVER;0;0;0;0;0;1;0;;0
94;INTERNET;NETWORK NEWS TRANSFER PROTOCOL;0;1;0;1;0;0;0;['INTERNET', 'PROTOCOL', 'NETWORK NEWS TRANSFER PROTOCOL'];0
95;INTERNET;REGISTERED DOMAIN;0;1;0;1;0;0;0;['INTERNET', 'ACCESS INTERNET SERVICE PROVIDER', 'REGISTERED DOMAIN'];0
96;INTERNET;INSTANT MESSAGING;0;1;0;1;0;0;0;['INTERNET', 'PROTOCOL', 'HYPERTEXT TRANSFER PROTOCOL', 'INSTANT MESSAGING'];0
97;INTERNET;UNIFORM RESOURCE LOCATOR;0;1;0;1;0;0;0;['INTERNET', 'BROWSER', 'UNIFORM RESOURCE LOCATOR'];0
98;INTERNET;LINK LAYER;0;1;0;1;0;0;0;['INTERNET', 'INTERNET SOFTWARE', 'LINK LAYER'];0
99;INTERNET;TIER-2 INTERNET SERVICE PROVIDER;1;0;0;1;0;0;0;;0
100;INTERNET;GRID COMPUTE;0;0;0;0;0;1;0;;0
101;INTERNET;PORT NUMBER;0;1;0;1;0;0;0;['INTERNET', 'APPLICATION LAYER', 'PORT NUMBER'];0
102;INTERNET;TIER-3 INTERNET SERVICE PROVIDER;1;0;0;1;0;0;0;;0
103;INTERNET;INTERNET2;1;0;0;1;0;0;0;;0
104;INTERNET;HOT SPOT;0;0;0;0;0;1;0;;0
105;INTERNET;BRIDGE;0;0;0;0;0;1;0;;0
106;INTERNET;SWITCH;0;0;0;0;0;1;0;;0
107;INTERNET;INTERNET INFRASTRUCTURE;1;0;0;1;0;0;0;;0
108;INTERNET;SECURE SHELL;0;1;0;1;0;0;0;['INTERNET', 'PROTOCOL', 'SECURE SHELL'];0
109;INTERNET;HOP COUNT;1;0;0;1;0;0;0;;0
110;INTERNET;CONTENT DELIVERY NETWORK;1;0;0;1;0;0;0;;0
111;INTERNET;HYPERTEXT;0;1;0;1;0;0;0;['INTERNET', 'WORLD WIDE WEB', 'HYPERTEXT'];0
112;INTERNET;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;0;1;0;1;0;0;0;['INTERNET', 'VOICE OVER INTERNET PROTOCOL', 'TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK'];0
113;INTERNET;HYPERTEXT TRANSFER PROTOCOL SERVER;0;0;0;0;0;1;0;;0
114;INTERNET;NETWORK LAYER;0;1;0;1;0;0;0;['INTERNET', 'INTERNET SOFTWARE', 'NETWORK LAYER'];0
115;INTERNET;ACCESS POINT;0;0;0;0;0;1;0;;0
116;INTERNET;INTERPROCESS COMMUNICATION;0;0;0;0;0;1;0;;0
117;INTERNET;END SYSTEM;0;1;0;1;0;0;0;['INTERNET', 'ACCESS INTERNET SERVICE PROVIDER', 'END SYSTEM'];0
118;INTERNET;NAME SERVER;0;1;0;1;0;0;0;['INTERNET', 'INTERNET PROTOCOL ADDRESS', 'NAME SERVER'];0
119;INTERNET;MAIL SERVER;0;1;0;1;0;0;0;['INTERNET', 'EMAIL', 'MAIL SERVER'];0
120;INTERNET;GATEWAY;1;0;0;1;0;0;0;;0
121;INTERNET;DOMAIN;1;0;0;1;0;0;0;;0
122;INTERNET;TRANSMISSION CONTROL PROTOCOL;1;0;0;1;0;0;0;;0
123;INTERNET;PEER-TO-PEER MODEL;0;0;0;0;0;1;0;;0
124;INTERNET;WORLD WIDE WEB;1;0;0;1;0;0;0;;0
125;INTERNET;SECURE SOCKET LAYER;0;1;0;1;0;0;0;['INTERNET', 'PROTOCOL', 'SECURE SOCKET LAYER'];0
126;INTERNET;BROWSER;1;0;0;1;0;0;0;;0
127;INTERNET;END USER;1;0;0;1;0;0;0;;0
128;INTERNET;PUBLIC-KEY ENCRYPTION;0;1;0;1;0;0;0;['INTERNET', 'ENCRYPTION', 'PUBLIC-KEY ENCRYPTION'];0
129;INTERNET;INTERNET PROTOCOL NETWORK;0;1;0;1;0;0;0;['INTERNET', 'INTERNET PROTOCOL', 'INTERNET PROTOCOL NETWORK'];0
130;INTERNET;DOMAIN NAME;0;1;0;1;0;0;0;['INTERNET', 'DOMAIN', 'DOMAIN NAME'];0
131;INTERNET;BUS;0;0;0;0;0;1;0;;0
132;INTERNET;SIMPLE MAIL TRANSFER PROTOCOL;0;1;0;1;0;0;0;['INTERNET', 'EMAIL', 'SIMPLE MAIL TRANSFER PROTOCOL'];0
133;INTERNET;TIER-1 INTERNET SERVICE PROVIDER;1;0;0;1;0;0;0;;0
134;INTERNET;HEAD;0;1;0;1;0;0;0;['INTERNET', 'BROWSER', 'HYPERTEXT MARKUP LANGUAGE', 'HEAD'];0
135;INTERNET;HYPERTEXT DOCUMENT;0;1;0;1;0;0;0;['INTERNET', 'WORLD WIDE WEB', 'HYPERTEXT DOCUMENT'];0
136;INTERNET;EMAIL;1;0;0;1;0;0;0;;0
137;INTERNET;ACCESS INTERNET SERVICE PROVIDER;1;0;0;1;0;0;0;;0
138;INTERNET;HYPERTEXT TRANSFER PROTOCOL;0;1;0;1;0;0;0;['INTERNET', 'PROTOCOL', 'HYPERTEXT TRANSFER PROTOCOL'];0
139;INTERNET;ETHERNET NETWORK;0;0;0;0;0;1;0;;0
140;INTERNET;VIRUS;0;0;0;0;0;1;0;;0
141;INTERNET;INTERNET SERVICE PROVIDER;1;0;0;1;0;0;0;;0
142;INTERNET;CLIENT;0;0;0;0;0;1;0;;0
143;INTERNET;ADDRESSING SYSTEM;1;0;0;1;0;0;0;;0
144;INTERNET;DOMAIN NAME SYSTEM;0;1;0;1;0;0;0;['INTERNET', 'PROTOCOL', 'DOMAIN NAME SYSTEM'];0
145;INTERNET;WEBSERVERS;1;0;0;1;0;0;0;;0
146;INTERNET;ENCRYPTION;1;0;0;1;0;0;0;;0
147;INTERNET;REMOTE SERVER;0;0;0;0;0;1;0;;0
148;INTERNET;INTERNET PROTOCOL ADDRESS;1;0;0;1;0;0;0;;0
149;INTERNET;BIT PATTERN;0;1;0;1;0;0;0;['INTERNET', 'INTERNET PROTOCOL ADDRESS', 'BIT PATTERN'];0
150;INTERNET;CERTIFICATE;0;1;0;1;0;0;0;['INTERNET', 'CERTIFICATE AUTHORITY', 'CERTIFICATE'];0
151;INTERNET;CLIENT SIDE;0;0;0;0;0;1;0;;0
152;INTERNET;SERVER SIDE;0;0;0;0;0;1;0;;0
153;INTERNET;SPYWARE;0;0;0;0;0;1;0;;0
154;INTERNET;MASS STORAGE;0;0;0;0;0;1;0;;0
155;INTERNET;HYPERTEXT MARKUP LANGUAGE;0;1;0;1;0;0;0;['INTERNET', 'BROWSER', 'HYPERTEXT MARKUP LANGUAGE'];0
156;INTERNET;SECOND GENERATION;0;1;0;1;0;0;0;['INTERNET', 'TRADITIONAL TELEPHONE', 'SECOND GENERATION'];0
157;INTERNET;PHONE NETWORK;0;1;0;1;0;0;0;['INTERNET', 'PROTOCOL', 'PHONE NETWORK'];0
158;INTERNET;3G;0;1;0;1;0;0;0;['INTERNET', 'PROTOCOL', 'PHONE NETWORK', '3G'];0
159;INTERNET;4G;1;0;0;1;0;0;0;;0
160;INTERNET;VOICE OVER INTERNET PROTOCOL;1;0;0;1;0;0;0;;0
161;INTERNET;PRIVATE-KEY;0;1;0;1;0;0;0;['INTERNET', 'ENCRYPTION', 'PRIVATE-KEY'];0
162;INTERNET;CERTIFICATE AUTHORITY;1;0;0;1;0;0;0;;0
163;INTERNET;PUBLIC-KEY;0;1;0;1;0;0;0;['INTERNET', 'ENCRYPTION', 'PUBLIC-KEY ENCRYPTION', 'PUBLIC-KEY'];0
164;INTERNET;MNEMONIC DOMAIN NAME;0;1;0;1;0;0;0;['INTERNET', 'DOMAIN', 'MNEMONIC DOMAIN NAME'];0
165;INTERNET;WORM;0;0;0;0;0;1;0;;0
166;INTERNET;DENIAL OF SERVICE;0;1;0;1;0;0;0;['INTERNET', 'BROWSER', 'WEBSERVER', 'DENIAL OF SERVICE'];0
167;INTERNET;DIGITAL SIGNATURE;0;1;0;1;0;0;0;['INTERNET', 'INTERNET PROTOCOL ADDRESS', 'BIT PATTERN', 'DIGITAL SIGNATURE'];0
168;INTERNET;BODY;0;1;0;1;0;0;0;['INTERNET', 'EMAIL', 'BODY'];0
169;INTERNET;CLIENT/SERVER MODEL;0;0;0;0;0;1;0;;0
170;INTERNET;DISTRIBUTED SYSTEM;0;0;0;0;0;1;0;;0
171;INTERNET;INTERNET MAIL ACCESS PROTOCOL;0;1;0;1;0;0;0;['INTERNET', 'PROTOCOL', 'INTERNET MAIL ACCESS PROTOCOL'];0
172;INTERNET;STAR;0;0;0;0;0;1;0;;0
173;INTERNET;TAG;0;1;0;1;0;0;0;['INTERNET', 'BROWSER', 'HYPERTEXT MARKUP LANGUAGE', 'TAG'];0
174;INTERNET;WEBSERVER;0;1;0;1;0;0;0;['INTERNET', 'BROWSER', 'WEBSERVER'];0
175;INTERNET;REMOTE MAIL SERVER;0;1;0;1;0;0;0;['INTERNET', 'EMAIL', 'SIMPLE MAIL TRANSFER PROTOCOL', 'REMOTE MAIL SERVER'];0
176;INTERNET;FORWARDING TABLE;0;1;0;1;0;0;0;['INTERNET', 'TRANSMISSION CONTROL PROTOCOL', 'FORWARDING TABLE'];0
177;INTERNET;WIFI NETWORK;0;0;0;0;0;1;0;;0
178;INTERNET;TRADITIONAL TELEPHONE;1;0;0;1;0;0;0;;0
179;INTERNET;INTERNET SOFTWARE;1;0;0;1;0;0;0;;0
180;INTERNET;INTRANET;1;0;0;1;0;0;0;;0
181;INTERNET;COMPUTER SYSTEM;0;0;0;0;0;1;0;;0
182;INTERNET;MALICIOUS SOFTWARE;0;0;0;0;0;1;0;;0
183;BUS;BRIDGE;1;0;0;1;0;0;0;;0
184;BUS;HUB;1;0;0;1;0;0;0;;0
185;BUS;SWITCH;1;0;0;1;0;0;0;;0
186;BUS;STAR;0;0;0;0;0;1;0;;0
187;BUS;REPEATER;1;0;0;1;0;0;0;;0
188;BUS;PROTOCOL;0;0;0;0;0;1;0;;0
189;BUS;ROUTER;0;1;0;1;0;0;0;['BUS', 'REPEATER', 'ROUTER'];0
190;BUS;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;1;0;0;1;0;0;0;;0
191;BUS;COLLISION DETECTION;0;0;1;0;0;1;0;;0
192;BUS;WIFI NETWORK;0;0;0;0;0;1;0;;0
193;BUS;WIRELESS NETWORK;0;0;0;0;0;1;0;;0
194;BUS;ACCESS POINT;0;0;0;0;0;1;0;;0
195;BUS;ETHERNET NETWORK;1;0;0;1;0;0;0;;0
196;PRINT SERVER;FILE SERVER;0;0;0;0;0;1;0;;0
197;PRINT SERVER;MAGNETIC DISK;0;0;0;0;0;1;0;;0
198;PEER-TO-PEER MODEL;DISTRIBUTED SYSTEM;0;0;0;0;0;1;0;;0
199;CLIENT/SERVER MODEL;PEER-TO-PEER MODEL;0;0;0;0;0;1;0;;0
200;CLIENT/SERVER MODEL;PRINT SERVER;0;0;0;0;0;1;0;;0
201;CLIENT/SERVER MODEL;FILE SERVER;0;0;0;0;0;1;0;;0
202;CLIENT/SERVER MODEL;MAGNETIC DISK;0;0;0;0;0;1;0;;0
203;TRANSPORT LAYER;TRANSMISSION CONTROL PROTOCOL;1;0;0;1;0;0;0;;0
204;TRANSPORT LAYER;USER DATAGRAM PROTOCOL;1;0;0;1;0;0;0;;0
205;TRANSPORT LAYER;PORT NUMBER;1;0;0;1;0;0;0;;0
206;TRANSPORT LAYER;HYPERTEXT TRANSFER PROTOCOL SERVER;0;0;0;0;0;1;0;;0
207;TRANSPORT LAYER;INTERNET INFRASTRUCTURE;0;0;0;0;0;1;0;;0
208;TRANSPORT LAYER;FORWARDING TABLE;0;1;0;1;0;0;0;['TRANSPORT LAYER', 'TRANSMISSION CONTROL PROTOCOL', 'FORWARDING TABLE'];0
209;TRANSMISSION CONTROL PROTOCOL;USER DATAGRAM PROTOCOL;1;0;0;1;0;0;0;;0
210;WORLD WIDE WEB;HEAD;0;1;0;1;0;0;0;['WORLD WIDE WEB', 'EXTENSIBLE MARKUP LANGUAGE', 'HYPERTEXT MARKUP LANGUAGE', 'HEAD'];0
211;WORLD WIDE WEB;HYPERTEXT MARKUP LANGUAGE;0;1;0;1;0;0;0;['WORLD WIDE WEB', 'EXTENSIBLE MARKUP LANGUAGE', 'HYPERTEXT MARKUP LANGUAGE'];0
212;WORLD WIDE WEB;TAG;0;1;0;1;0;0;0;['WORLD WIDE WEB', 'HYPERTEXT DOCUMENT', 'TAG'];0
213;WORLD WIDE WEB;HYPERTEXT;1;0;0;1;0;0;0;;0
214;WORLD WIDE WEB;HYPERTEXT DOCUMENT;1;0;0;1;0;0;0;;0
215;WORLD WIDE WEB;WEBSERVERS;0;1;0;1;0;0;0;['WORLD WIDE WEB', 'HYPERTEXT', 'WEBSERVERS'];0
216;COMPUTER;NETWORK;1;0;0;1;0;0;0;;0
217;COMPUTER;INTERNET;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'INTERNET'];0
218;COMPUTER;PHISHING;0;1;0;1;0;0;0;['COMPUTER', 'SPYWARE', 'PHISHING'];0
219;COMPUTER;TROJAN HORSE;1;0;0;1;0;0;0;;0
220;COMPUTER;VIRUS;1;0;0;1;0;0;0;;0
221;COMPUTER;BUS;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'BUS'];0
222;COMPUTER;SOFTWARE;1;0;0;1;0;0;0;;0
223;COMPUTER;CLOUD COMPUTING;0;1;0;1;0;0;0;['COMPUTER', 'DISTRIBUTED SYSTEM', 'CLOUD COMPUTING'];0
224;COMPUTER;CLUSTER COMPUTE;0;1;0;1;0;0;0;['COMPUTER', 'DISTRIBUTED SYSTEM', 'CLUSTER COMPUTE'];0
225;COMPUTER;GRID COMPUTE;0;1;0;1;0;0;0;['COMPUTER', 'DISTRIBUTED SYSTEM', 'GRID COMPUTE'];0
226;COMPUTER;TAG;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'BROWSER', 'HYPERTEXT MARKUP LANGUAGE', 'TAG'];0
227;COMPUTER;SPYWARE;1;0;0;1;0;0;0;;0
228;COMPUTER;SERVER;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'SERVER'];0
229;COMPUTER;WORM;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'WORM'];0
230;COMPUTER;HEAD;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'BROWSER', 'HYPERTEXT MARKUP LANGUAGE', 'HEAD'];0
231;COMPUTER;CLIENT;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'INTERPROCESS COMMUNICATION', 'CLIENT'];0
232;COMPUTER;PEER-TO-PEER MODEL;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'INTERPROCESS COMMUNICATION', 'PEER-TO-PEER MODEL'];0
233;COMPUTER;WORLD WIDE WEB;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'INTERNET', 'WORLD WIDE WEB'];0
234;COMPUTER;BROWSER;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'BROWSER'];0
235;COMPUTER;UNIFORM RESOURCE LOCATOR;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'BROWSER', 'UNIFORM RESOURCE LOCATOR'];0
236;COMPUTER;DENIAL OF SERVICE;1;0;0;1;0;0;0;;0
237;COMPUTER;EMAIL;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'INTERNET', 'EMAIL'];0
238;COMPUTER;HYPERTEXT;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'BROWSER', 'HYPERTEXT'];0
239;COMPUTER;PERSONAL AREA NETWORK;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'PERSONAL AREA NETWORK'];0
240;COMPUTER;NETWORK SOFTWARE;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'NETWORK SOFTWARE'];0
241;COMPUTER;OPEN NETWORK;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'OPEN NETWORK'];0
242;COMPUTER;DISTRIBUTED SYSTEM;1;0;0;1;0;0;0;;0
243;COMPUTER;PROTOCOL;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'PROTOCOL'];0
244;COMPUTER;HUB;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'BUS', 'HUB'];0
245;COMPUTER;GATEWAY;0;1;0;1;0;0;0;['COMPUTER', 'NETWORK', 'GATEWAY'];0
246;COMPUTER;ANTIVIRUS SOFTWARE;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'ANTIVIRUS SOFTWARE'];0
247;COMPUTER;AUDITING SOFTWARE;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'AUDITING SOFTWARE'];0
248;COMPUTER;HYPERTEXT DOCUMENT;0;1;0;1;0;0;0;['COMPUTER', 'SOFTWARE', 'BROWSER', 'HYPERTEXT DOCUMENT'];0
